fen,id,expected_bm,expected_am,given_move,bm_success,am_success,time_s,score
rn1qkb1r/pp2pppp/5n2/3p1b2/3P4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 0 1,CCR01,[Move.from_uci('d1b3')],[],h2h4,False,,14.89,"PovScore(Cp(+132), WHITE)"
rn1qkb1r/pp2pppp/5n2/3p1b2/3P4/1QN1P3/PP3PPP/R1B1KBNR b KQkq - 0 1,CCR02,[Move.from_uci('f5c8')],[],f5c8,True,,0.129,"PovScore(Cp(-57), BLACK)"
r1bqk2r/ppp2ppp/2n5/4P3/2Bp2n1/5N1P/PP1N1PP1/R2Q1RK1 b kq - 0 1,CCR03,[Move.from_uci('g4h6')],[Move.from_uci('g4e5')],e8g8,False,True,0.105,"PovScore(Cp(+102), BLACK)"
r1bqrnk1/pp2bp1p/2p2np1/3p2B1/3P4/2NBPN2/PPQ2PPP/1R3RK1 w - - 0 1,CCR04,[Move.from_uci('b2b4')],[],g5h4,False,,0.402,"PovScore(Cp(+79), WHITE)"
rnbqkb1r/ppp1pppp/5n2/8/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 1,CCR05,[Move.from_uci('e7e5')],[],e7e6,False,,0.084,"PovScore(Cp(-119), BLACK)"
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/P1N5/1PQ1PPPP/R1B1KBNR b KQ - 0 1,CCR06,[Move.from_uci('b4c3')],[],d7d5,False,,0.1,"PovScore(Cp(-20), BLACK)"
r4rk1/3nppbp/bq1p1np1/2pP4/8/2N2NPP/PP2PPB1/R1BQR1K1 b - - 0 1,CCR07,[Move.from_uci('f8b8')],[],b6b2,False,,0.091,"PovScore(Cp(+73), BLACK)"
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 0 1,CCR08,[Move.from_uci('d4d5')],[],h2h3,False,,0.23,"PovScore(Cp(+40), WHITE)"
r1bq1rk1/1pp2pbp/p1np1np1/3Pp3/2P1P3/2N1BP2/PP4PP/R1NQKB1R b KQ - 0 1,CCR09,[Move.from_uci('c6d4')],[],f6g4,False,,0.111,"PovScore(Cp(+77), BLACK)"
rnbqr1k1/1p3pbp/p2p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 w - - 0 1,CCR10,[Move.from_uci('a2a4')],[],b2b3,False,,0.163,"PovScore(Cp(+95), WHITE)"
rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 1,CCR11,[Move.from_uci('d7d5')],[],c7c6,False,,0.257,"PovScore(Cp(+29), BLACK)"
r1bqk1nr/pppnbppp/3p4/8/2BNP3/8/PPP2PPP/RNBQK2R w KQkq - 0 1,CCR12,[Move.from_uci('c4f7')],[],c4f7,True,,0.145,"PovScore(Cp(+222), WHITE)"
rnbq1b1r/ppp2kpp/3p1n2/8/3PP3/8/PPP2PPP/RNBQKB1R b KQ - 0 1,CCR13,[],[Move.from_uci('f6e4')],f7e6,,True,0.175,"PovScore(Cp(+7), BLACK)"
rnbqkb1r/pppp1ppp/3n4/8/2BQ4/5N2/PPP2PPP/RNB2RK1 b kq - 0 1,CCR14,[],[Move.from_uci('d6c4')],b8c6,,True,0.074,"PovScore(Cp(0), BLACK)"
r2q1rk1/2p1bppp/p2p1n2/1p2P3/4P1b1/1nP1BN2/PP3PPP/RN1QR1K1 w - - 0 1,CCR15,[Move.from_uci('e5f6')],[],e3a7,False,,0.172,"PovScore(Cp(+399), WHITE)"
r1bqkb1r/2pp1ppp/p1n5/1p2p3/3Pn3/1B3N2/PPP2PPP/RNBQ1RK1 b kq - 0 1,CCR16,[Move.from_uci('d7d5')],[],c8b7,False,,0.122,"PovScore(Cp(-83), BLACK)"
r2qkbnr/2p2pp1/p1pp4/4p2p/4P1b1/5N1P/PPPP1PP1/RNBQ1RK1 w kq - 0 1,CCR17,[],[Move.from_uci('h3g4')],d2d3,,True,0.129,"PovScore(Cp(+77), WHITE)"
