fen,id,expected_bm,expected_am,given_move,bm_success,am_success,time_s,score
rn1qkb1r/pp2pppp/5n2/3p1b2/3P4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 0 1,CCR01,[Move.from_uci('d1b3')],[],f2f3,False,,1.113,"PovScore(Cp(+139), WHITE)"
rn1qkb1r/pp2pppp/5n2/3p1b2/3P4/1QN1P3/PP3PPP/R1B1KBNR b KQkq - 0 1,CCR02,[Move.from_uci('f5c8')],[],f5c8,True,,0.094,"PovScore(Cp(-45), BLACK)"
r1bqk2r/ppp2ppp/2n5/4P3/2Bp2n1/5N1P/PP1N1PP1/R2Q1RK1 b kq - 0 1,CCR03,[Move.from_uci('g4h6')],[Move.from_uci('g4e5')],e8g8,False,True,0.085,"PovScore(Cp(+64), BLACK)"
r1bqrnk1/pp2bp1p/2p2np1/3p2B1/3P4/2NBPN2/PPQ2PPP/1R3RK1 w - - 0 1,CCR04,[Move.from_uci('b2b4')],[],c3e2,False,,0.312,"PovScore(Cp(+78), WHITE)"
rnbqkb1r/ppp1pppp/5n2/8/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 1,CCR05,[Move.from_uci('e7e5')],[],e7e5,True,,0.049,"PovScore(Cp(-167), BLACK)"
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/P1N5/1PQ1PPPP/R1B1KBNR b KQ - 0 1,CCR06,[Move.from_uci('b4c3')],[],b4a5,False,,0.1,"PovScore(Cp(-33), BLACK)"
r4rk1/3nppbp/bq1p1np1/2pP4/8/2N2NPP/PP2PPB1/R1BQR1K1 b - - 0 1,CCR07,[Move.from_uci('f8b8')],[],b6b2,False,,0.066,"PovScore(Cp(+94), BLACK)"
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 0 1,CCR08,[Move.from_uci('d4d5')],[],a2a4,False,,0.126,"PovScore(Cp(+100), WHITE)"
r1bq1rk1/1pp2pbp/p1np1np1/3Pp3/2P1P3/2N1BP2/PP4PP/R1NQKB1R b KQ - 0 1,CCR09,[Move.from_uci('c6d4')],[],f6g4,False,,0.063,"PovScore(Cp(+200), BLACK)"
rnbqr1k1/1p3pbp/p2p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 w - - 0 1,CCR10,[Move.from_uci('a2a4')],[],a2a3,False,,0.208,"PovScore(Cp(+89), WHITE)"
rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 1,CCR11,[Move.from_uci('d7d5')],[],d8e7,False,,0.14,"PovScore(Cp(+4), BLACK)"
r1bqk1nr/pppnbppp/3p4/8/2BNP3/8/PPP2PPP/RNBQK2R w KQkq - 0 1,CCR12,[Move.from_uci('c4f7')],[],c4f7,True,,0.12,"PovScore(Cp(+138), WHITE)"
rnbq1b1r/ppp2kpp/3p1n2/8/3PP3/8/PPP2PPP/RNBQKB1R b KQ - 0 1,CCR13,[],[Move.from_uci('f6e4')],f7e6,,True,0.122,"PovScore(Cp(+13), BLACK)"
rnbqkb1r/pppp1ppp/3n4/8/2BQ4/5N2/PPP2PPP/RNB2RK1 b kq - 0 1,CCR14,[],[Move.from_uci('d6c4')],d6f5,,True,0.055,"PovScore(Cp(0), BLACK)"
r2q1rk1/2p1bppp/p2p1n2/1p2P3/4P1b1/1nP1BN2/PP3PPP/RN1QR1K1 w - - 0 1,CCR15,[Move.from_uci('e5f6')],[],e3c5,False,,0.128,"PovScore(Cp(+423), WHITE)"
r1bqkb1r/2pp1ppp/p1n5/1p2p3/3Pn3/1B3N2/PPP2PPP/RNBQ1RK1 b kq - 0 1,CCR16,[Move.from_uci('d7d5')],[],e5d4,False,,0.063,"PovScore(Cp(-45), BLACK)"
r2qkbnr/2p2pp1/p1pp4/4p2p/4P1b1/5N1P/PPPP1PP1/RNBQ1RK1 w kq - 0 1,CCR17,[],[Move.from_uci('h3g4')],a2a4,,True,0.074,"PovScore(Cp(+78), WHITE)"
r1bqkb1r/pp3ppp/2np1n2/4p1B1/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq - 0 1,CCR18,[Move.from_uci('g5f6')],[],e1d2,False,,0.109,"PovScore(Cp(+249), WHITE)"
rn1qk2r/1b2bppp/p2ppn2/1p6/3NP3/1BN5/PPP2PPP/R1BQR1K1 w kq - 0 1,CCR19,[],[Move.from_uci('b3e6')],h2h3,,True,0.305,"PovScore(Cp(+164), WHITE)"
r1b1kb1r/1pqpnppp/p1n1p3/8/3NP3/2N1B3/PPP1BPPP/R2QK2R w KQkq - 0 1,CCR20,[],[Move.from_uci('d4b5')],e2f1,,True,0.119,"PovScore(Cp(+78), WHITE)"
r1bqnr2/pp1ppkbp/4N1p1/n3P3/8/2N1B3/PPP2PPP/R2QK2R b KQ - 0 1,CCR21,[],[Move.from_uci('f7e6')],d7e6,,True,0.053,"PovScore(Cp(+682), BLACK)"
r3kb1r/pp1n1ppp/1q2p3/n2p4/3P1Bb1/2PB1N2/PPQ2PPP/RN2K2R w KQkq - 0 1,CCR22,[Move.from_uci('a2a4')],[],b2b3,False,,0.206,"PovScore(Cp(+150), WHITE)"
r1bq1rk1/pppnnppp/4p3/3pP3/1b1P4/2NB3N/PPP2PPP/R1BQK2R w KQ - 0 1,CCR23,[Move.from_uci('d3h7')],[],d3h7,True,,0.111,"PovScore(Cp(+507), WHITE)"
r2qkbnr/ppp1pp1p/3p2p1/3Pn3/4P1b1/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 1,CCR24,[Move.from_uci('f3e5')],[],f1b5,False,,0.122,"PovScore(Cp(+91), WHITE)"
rn2kb1r/pp2pppp/1qP2n2/8/6b1/1Q6/PP1PPPBP/RNB1K1NR b KQkq - 0 1,CCR25,[],[Move.from_uci('b6b3')],g4e6,,True,0.143,"PovScore(Cp(+102), BLACK)"
