fen,id,expected_bm,expected_am,given_move,bm_success,am_success,time_s,score
8/8/p2p3p/3k2p1/PP6/3K1P1P/8/8 b - - 0 1,E_E_T 001 - B vs B,[Move.from_uci('d5c6')],[],d5e6,False,,13.956,"PovScore(Cp(+120), BLACK)"
8/p5pp/3k1p2/3p4/1P3P2/P1K5/5P1P/8 b - - 0 1,E_E_T 002 - B vs B,[Move.from_uci('g7g5')],[],d6e7,False,,53.622,"PovScore(Cp(+84), BLACK)"
8/1p3p2/p7/8/2k5/4P1pP/2P1K1P1/8 w - - 0 1,E_E_T 003 - B vs B,[Move.from_uci('h3h4')],[],h3h4,True,,9.166,"PovScore(Cp(+312), WHITE)"
8/pp5p/3k2p1/8/4Kp2/2P1P2P/P7/8 w - - 0 1,E_E_T 004 - B vs B,[Move.from_uci('e3f4')],[],e4d4,False,,35.778,"PovScore(Cp(+513), WHITE)"
8/7p/1p3pp1/p2K4/Pk3PPP/8/1P6/8 b - - 0 1,E_E_T 005 - B vs B,"[Move.from_uci('b4b3'), Move.from_uci('f6f5')]",[],b4b3,True,,31.798,"PovScore(Cp(+92), BLACK)"
2k5/3b4/PP3K2/7p/4P3/1P6/8/8 w - - 0 1,E_E_T 006 - B vs L,[Move.from_uci('f6e7')],[],e4e5,False,,9.782,"PovScore(Cp(+307), WHITE)"
8/3Pb1p1/8/3P2P1/5P2/7k/4K3/8 w - - 0 1,E_E_T 007 - B vs L,[Move.from_uci('e2d3')],[],d5d6,False,,23.654,"PovScore(Cp(+82), WHITE)"
8/1Pk2Kpp/8/8/4nPP1/7P/8/8 b - - 0 1,E_E_T 008 - B vs S,[Move.from_uci('e4f2')],[],c7b6,False,,67.402,"PovScore(Cp(+742), BLACK)"
2n5/4k1p1/P6p/3PK3/7P/8/6P1/8 b - - 0 1,E_E_T 009 - B vs S,[Move.from_uci('g7g6')],[],c8d6,False,,34.732,"PovScore(Cp(+186), BLACK)"
4k3/8/3PP1p1/8/3K3p/8/3n2PP/8 b - - 0 1,E_E_T 010 - B vs S,[],[Move.from_uci('d2f1')],e8f8,,True,23.765,"PovScore(Cp(+156), BLACK)"
6k1/5p2/P3p1p1/2Qp4/5q2/2K5/8/8 b - - 0 1,E_E_T 011 - D vs D,[],"[Move.from_uci('f4c1'), Move.from_uci('f4e5')]",f4c4,,True,68.161,"PovScore(Cp(+1433), BLACK)"
8/6pk/8/2p2P1p/6qP/5QP1/8/6K1 w - - 0 1,E_E_T 012 - D vs D,"[Move.from_uci('f3d3'), Move.from_uci('f3f2')]",[],f3f4,False,,49.184,"PovScore(Cp(+9), WHITE)"
5q1k/5P1p/Q7/5n1p/6P1/7K/8/8 w - - 0 1,E_E_T 013 - D vs D&S,[Move.from_uci('a6a1')],[],a6b6,False,,50.652,"PovScore(Cp(+150), WHITE)"
4qr2/4p2k/1p2P1pP/5P2/1P3P2/6Q1/8/3B1K2 w - - 0 1,E_E_T 014 - D&L vs D&T,[Move.from_uci('d1a4')],[],d1a4,True,,18.278,"PovScore(Cp(+136), WHITE)"
8/kn4b1/P2B4/8/1Q6/6pP/1q4pP/5BK1 w - - 0 1,E_E_T 015 - D&L&L vs D&L&S,[Move.from_uci('d6c5')],[],b4b7,False,,45.321,"PovScore(Cp(+668), WHITE)"
6k1/1p2p1bp/p5p1/4pb2/1q6/4Q3/1P2BPPP/2R3K1 w - - 0 1,E_E_T 017 - D&T&L vs D&L&L,[Move.from_uci('e3a3')],[],e3b3,False,,16.415,"PovScore(Cp(+123), WHITE)"
1rr2k2/p1q5/3p2Q1/3Pp2p/8/1P3P2/1KPRN3/8 w - e6 0 1,E_E_T 018 - D&T&S vs D&T&T,[Move.from_uci('d2d1')],[],g6f6,False,,13.339,"PovScore(Cp(+332), WHITE)"
r5k1/3R2p1/p1r1q2p/P4p2/5P2/2p1P3/5P1P/1R1Q2K1 w - - 0 1,E_E_T 019 - D&T&T vs D&T&T,[],[Move.from_uci('b1b7')],b1b8,,True,30.448,"PovScore(Cp(+5), WHITE)"
8/1p4k1/pK5p/2B5/P4pp1/8/7P/8 b - - 0 1,E_E_T 020 - L vs B,[],[Move.from_uci('g4g3')],g7g8,,True,14.734,"PovScore(Cp(-226), BLACK)"
8/6p1/6P1/6Pp/B1p1p2K/6PP/3k2P1/8 w - - 0 1,E_E_T 021 - L vs B,[Move.from_uci('a4d1')],[],g3g4,False,,16.456,"PovScore(Cp(+122), WHITE)"
8/4k3/8/2Kp3p/B3bp1P/P7/1P6/8 b - - 0 1,E_E_T 022 - L vs L,[Move.from_uci('e4g2')],[],e4f5,False,,14.656,"PovScore(Cp(+9), BLACK)"
8/8/2p1K1p1/2k5/p7/P4BpP/1Pb3P1/8 w - - 0 1,E_E_T 023 - L vs L,[],[Move.from_uci('e6d7')],e6e5,,True,15.598,"PovScore(Cp(+119), WHITE)"
8/3p3B/5p2/5P2/p7/PP5b/k7/6K1 w - - 0 1,E_E_T 024 - L vs L,[Move.from_uci('b3b4')],[],g1h2,False,,8.311,"PovScore(Cp(-41), WHITE)"
8/p4p2/1p2k2p/6p1/P4b1P/1P6/3B1PP1/6K1 w - - 0 1,E_E_T 025 - L vs L,[],[Move.from_uci('d2f4')],d2f4,,False,15.636,"PovScore(Cp(+48), WHITE)"
3b3k/1p4p1/p5p1/4B3/8/7P/1P3PP1/5K2 b - - 0 1,E_E_T 027 - L vs L,[],[Move.from_uci('d8f6')],d8c7,,True,12.952,"PovScore(Cp(+70), BLACK)"
4b1k1/1p3p2/4pPp1/p2pP1P1/P2P4/1P1B4/8/2K5 w - - 0 1,E_E_T 028 - L vs L,[Move.from_uci('b3b4')],[],c1b1,False,,14.584,"PovScore(Cp(+94), WHITE)"
8/3k1p2/n3pP2/1p2P2p/5K2/1PB5/7P/8 b - - 0 1,E_E_T 029 - L vs S,[],"[Move.from_uci('d7c6'), Move.from_uci('b5b4')]",a6c7,,True,18.391,"PovScore(Cp(+67), BLACK)"
8/8/4p1p1/1P1kP3/4n1PK/2B4P/8/8 b - - 0 1,E_E_T 030 - L vs S,[Move.from_uci('d5c5')],[],g6g5,False,,13.884,"PovScore(Cp(+1250), BLACK)"
8/5k2/4p3/B2p2P1/3K2n1/1P6/8/8 b - - 0 1,E_E_T 031 - L vs S,[Move.from_uci('f7g6')],[],g4e3,False,,16.569,"PovScore(Cp(+131), BLACK)"
5b2/p4B2/5B2/1bN5/8/P3r3/4k1K1/8 w - - 0 1,E_E_T 032 - L&L&S vs T&L&L,[Move.from_uci('f7h5')],[],f7h5,True,,98.338,"PovScore(Cp(+320), WHITE)"
8/p5pq/8/p2N3p/k2P3P/8/KP3PB1/8 w - - 0 1,E_E_T 033 - L&S vs D,[Move.from_uci('g2e4')],[],b2b3,False,,9.825,"PovScore(Cp(+862), WHITE)"
1b6/1P6/8/2KB4/6pk/3N3p/8/8 b - - 0 1,E_E_T 034 - L&S vs L&B,[Move.from_uci('h4g3')],[],h3h2,False,,3.393,"PovScore(Cp(0), BLACK)"
8/p7/7k/1P1K3P/8/1n6/4Bp2/5Nb1 b - - 0 1,E_E_T 035 - L&S vs L&S,[Move.from_uci('b3a5')],[],a7a6,False,,12.584,"PovScore(Cp(0), BLACK)"
8/8/8/3K4/2N5/p2B4/p7/k4r2 w - - 0 1,E_E_T 036 - L&S vs T&B,[Move.from_uci('d5c5')],[],c4b2,False,,5.884,"PovScore(Cp(0), WHITE)"
8/8/2kp4/5Bp1/8/5K2/3N4/2rN4 w - - 0 1,E_E_T 037 - L&S&S vs T&B,[Move.from_uci('d2b3')],[],d1f2,False,,4.72,"PovScore(Cp(+150), WHITE)"
k2K4/1p4pN/P7/1p3P2/pP6/8/8/8 w - - 0 1,E_E_T 038 - S vs B,"[Move.from_uci('f5f6'), Move.from_uci('d8c7')]",[],d8c7,True,,9.118,"PovScore(Cp(+696), WHITE)"
k2N4/1qpK1p2/1p6/1P4p1/1P4P1/8/8/8 w - - 0 1,E_E_T 039 - S vs D,[Move.from_uci('d8c6')],[],d8b7,False,,5.213,"PovScore(Cp(+105), WHITE)"
6k1/4b3/4p1p1/8/6pP/4PN2/5K2/8 w - - 0 1,E_E_T 040 - S vs L,"[Move.from_uci('f3e5'), Move.from_uci('f3h2')]",[],f3e5,True,,8.53,"PovScore(Cp(-27), WHITE)"
8/8/6Np/2p3kP/1pPbP3/1P3K2/8/8 w - - 0 1,E_E_T 041 - S vs L,[Move.from_uci('e4e5')],[],g6f4,False,,3.965,"PovScore(Cp(+114), WHITE)"
8/3P4/1p3b1p/p7/P7/1P3NPP/4p1K1/3k4 w - - 0 1,E_E_T 042 - S vs L,[Move.from_uci('g3g4')],[],d7d8r,False,,28.385,"PovScore(Cp(+346), WHITE)"
8/8/1p2p3/p3p2b/P1PpP2P/kP6/2K5/7N w - - 0 1,E_E_T 043 - S vs L,[Move.from_uci('h1f2')],[],h1g3,False,,6.388,"PovScore(Cp(+48), WHITE)"
4N3/8/3P3p/1k2P3/7p/1n1K4/8/8 w - - 0 1,E_E_T 044 - S vs S,[Move.from_uci('d6d7')],[],d3e4,False,,12.226,"PovScore(Cp(+278), WHITE)"
N5n1/2p1kp2/2P3p1/p4PP1/K4P2/8/8/8 w - - 0 1,E_E_T 045 - S vs S,"[Move.from_uci('f5f6'), Move.from_uci('a4b5')]",[],f5f6,True,,9.739,"PovScore(Cp(+114), WHITE)"
8/8/2pn4/p4p1p/P4N2/1Pk2KPP/8/8 w - - 0 1,E_E_T 046 - S vs S,"[Move.from_uci('f4e2'), Move.from_uci('f4e6')]",[],b3b4,False,,34.901,"PovScore(Cp(+33), WHITE)"
8/7k/2P5/2p4p/P3N2K/8/8/5r2 w - - 0 1,E_E_T 047 - S vs T,[Move.from_uci('e4g5')],[],c6c7,False,,8.208,"PovScore(Cp(+729), WHITE)"
2k1r3/p7/K7/1P6/P2N4/8/P7/8 w - - 0 1,E_E_T 048 - S vs T,[Move.from_uci('d4c6')],[],a6a7,False,,5.139,"PovScore(Cp(+194), WHITE)"
1k6/8/8/1K6/5pp1/8/4Pp1p/R7 w - - 0 1,E_E_T 049 - T vs B,[Move.from_uci('b5b6')],[],a1a2,False,,33.857,"PovScore(Cp(+311), WHITE)"
6k1/8/8/1K4p1/3p2P1/2pp4/8/1R6 w - - 0 1,E_E_T 050 - T vs B,[Move.from_uci('b5c6')],[],b1h1,False,,9.161,"PovScore(Cp(+573), WHITE)"
8/5p2/3pp2p/p5p1/4Pk2/2p2P1P/P1Kb2P1/1R6 w - - 0 1,E_E_T 051 - T vs L,"[Move.from_uci('a2a4'), Move.from_uci('b1b5')]",[],b1f1,False,,26.967,"PovScore(Cp(+58), WHITE)"
8/8/4pR2/3pP2p/6P1/2p4k/P1Kb4/8 b - - 0 1,E_E_T 052 - T vs L,[Move.from_uci('h5g4')],[],d2e1,False,,19.811,"PovScore(Cp(+229), BLACK)"
3k3K/p5P1/P3r3/8/1N6/8/8/8 w - - 0 1,E_E_T 053 - T vs S,[Move.from_uci('h8h7')],[],g7g8q,False,,3.372,"PovScore(Cp(+746), WHITE)"
8/8/5p2/5k2/p4r2/PpKR4/1P5P/8 w - - 0 1,E_E_T 054 - T vs T,[],[Move.from_uci('d3d4')],d3d1,,True,14.409,"PovScore(Cp(-2), WHITE)"
5k2/7R/8/4Kp2/5Pp1/P5rp/1P6/8 w - - 0 1,E_E_T 055 - T vs T,[Move.from_uci('e5f6')],[],h7c7,False,,19.149,"PovScore(Cp(+109), WHITE)"
2K5/p7/7P/5pR1/8/5k2/r7/8 w - - 0 1,E_E_T 056 - T vs T,[Move.from_uci('g5f5')],[],g5h5,False,,11.787,"PovScore(Cp(+288), WHITE)"
8/2R4p/4k3/1p2P3/pP3PK1/r7/8/8 b - - 0 1,E_E_T 057 - T vs T,"[Move.from_uci('h7h5'), Move.from_uci('a3a1')]",[],a3g3,False,,12.393,"PovScore(Cp(+33), BLACK)"
2k1r3/5R2/3KP3/8/1pP3p1/1P5p/8/8 w - - 0 1,E_E_T 058 - T vs T,[Move.from_uci('f7c7')],[],d6d5,False,,21.942,"PovScore(Cp(+213), WHITE)"
8/6p1/1p5p/1R2k3/4p3/1P2P3/1K4PP/3r4 b - - 0 1,E_E_T 059 - T vs T,[],[Move.from_uci('d1d5')],d1d5,,False,24.872,"PovScore(Cp(+33), BLACK)"
5K2/kp3P2/2p5/2Pp4/3P4/r7/p7/6R1 w - - 0 1,E_E_T 060 - T vs T,[Move.from_uci('f8e7')],[],g1a1,False,,14.674,"PovScore(Cp(+645), WHITE)"
8/pp3K2/2P4k/5p2/8/6P1/R7/6r1 w - - 0 1,E_E_T 061 - T vs T,[Move.from_uci('f7f6')],[],c6c7,False,,13.814,"PovScore(Cp(+506), WHITE)"
