fen,id,expected_bm,expected_am,given_move,bm_success,am_success,time_s,score
2rr3k/pp3pp1/1nnqbN1p/3pN3/2pP4/2P3Q1/PPB4P/R4RK1 w - - 0 1,WAC.001,[Move.from_uci('g3g6')],[],e5f7,False,,7.163,"PovScore(Cp(+1230), WHITE)"
8/7p/5k2/5p2/p1p2P2/Pr1pPK2/1P1R3P/8 b - - 0 1,WAC.002,[Move.from_uci('b3b2')],[],f6f7,False,,23.893,"PovScore(Cp(-51), BLACK)"
5rk1/1ppb3p/p1pb4/6q1/3P1p1r/2P1R2P/PP1BQ1P1/5RKN w - - 0 1,WAC.003,[Move.from_uci('e3g3')],[],e3g3,True,,43.775,"PovScore(Cp(+106), WHITE)"
r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4 w - - 0 1,WAC.004,[Move.from_uci('h6h7')],[],h6h7,True,,32.689,"PovScore(Cp(+1566), WHITE)"
5k2/6pp/p1qN4/1p1p4/3P4/2PKP2Q/PP3r2/3R4 b - - 0 1,WAC.005,[Move.from_uci('c6c4')],[],h7h6,False,,29.48,"PovScore(Cp(+59), BLACK)"
7k/p7/1R5K/6r1/6p1/6P1/8/8 w - - 0 1,WAC.006,[Move.from_uci('b6b7')],[],h6g5,False,,5.387,"PovScore(Cp(+125), WHITE)"
rnbqkb1r/pppp1ppp/8/4P3/6n1/7P/PPPNPPP1/R1BQKBNR b KQkq - 0 1,WAC.007,[Move.from_uci('g4e3')],[],d8h4,False,,14.834,"PovScore(Cp(+215), BLACK)"
r4q1k/p2bR1rp/2p2Q1N/5p2/5p2/2P5/PP3PPP/R5K1 w - - 0 1,WAC.008,[Move.from_uci('e7f7')],[],e7e8,False,,13.943,"PovScore(Cp(+1495), WHITE)"
3q1rk1/p4pp1/2pb3p/3p4/6Pr/1PNQ4/P1PB1PP1/4RRK1 b - - 0 1,WAC.009,[Move.from_uci('d6h2')],[],h4h1,False,,44.848,"PovScore(Cp(+545), BLACK)"
2br2k1/2q3rn/p2NppQ1/2p1P3/Pp5R/4P3/1P3PPP/3R2K1 w - - 0 1,WAC.010,[Move.from_uci('h4h7')],[],g6e8,False,,12.955,"PovScore(Cp(+384), WHITE)"
r1b1kb1r/3q1ppp/pBp1pn2/8/Np3P2/5B2/PPP3PP/R2Q1RK1 w kq - 0 1,WAC.011,[Move.from_uci('f3c6')],[],d1d5,False,,17.491,"PovScore(Cp(+140), WHITE)"
4k1r1/2p3r1/1pR1p3/3pP2p/3P2qP/P4N2/1PQ4P/5R1K b - - 0 1,WAC.012,[Move.from_uci('g4f3')],[],g7e7,False,,75.504,"PovScore(Cp(+912), BLACK)"
5rk1/pp4p1/2n1p2p/2Npq3/2p5/6P1/P3P1BP/R4Q1K w - - 0 1,WAC.013,[Move.from_uci('f1f8')],[],f1f8,True,,22.102,"PovScore(Cp(+1109), WHITE)"
r2rb1k1/pp1q1p1p/2n1p1p1/2bp4/5P2/PP1BPR1Q/1BPN2PP/R5K1 w - - 0 1,WAC.014,[Move.from_uci('h3h7')],[],h3h7,True,,8.063,"PovScore(Cp(+623), WHITE)"
1R6/1brk2p1/4p2p/p1P1Pp2/P7/6P1/1P4P1/2R3K1 w - - 0 1,WAC.015,[Move.from_uci('b8b7')],[],b8b7,True,,4.084,"PovScore(Cp(+1960), WHITE)"
r4rk1/ppp2ppp/2n5/2bqp3/8/P2PB3/1PP1NPPP/R2Q1RK1 w - - 0 1,WAC.016,[Move.from_uci('e2c3')],[],e3c5,False,,78.218,"PovScore(Cp(-17), WHITE)"
1k5r/pppbn1pp/4q1r1/1P3p2/2NPp3/1QP5/P4PPP/R1B1R1K1 w - - 0 1,WAC.017,[Move.from_uci('c4e5')],[],b5b6,False,,45.686,"PovScore(Cp(+6), WHITE)"
R7/P4k2/8/8/8/8/r7/6K1 w - - 0 1,WAC.018,[Move.from_uci('a8h8')],[],a8d8,False,,21.205,"PovScore(Cp(+4), WHITE)"
