fen,id,expected_bm,expected_am,given_move,bm_success,am_success,time_s,score
8/8/p2p3p/3k2p1/PP6/3K1P1P/8/8 b - - 0 1,E_E_T 001 - B vs B,[Move.from_uci('d5c6')],[],d5e6,False,,15.37,+84
8/p5pp/3k1p2/3p4/1P3P2/P1K5/5P1P/8 b - - 0 1,E_E_T 002 - B vs B,[Move.from_uci('g7g5')],[],d6d7,False,,55.519,+24
8/1p3p2/p7/8/2k5/4P1pP/2P1K1P1/8 w - - 0 1,E_E_T 003 - B vs B,[Move.from_uci('h3h4')],[],h3h4,True,,9.781,+105
8/pp5p/3k2p1/8/4Kp2/2P1P2P/P7/8 w - - 0 1,E_E_T 004 - B vs B,[Move.from_uci('e3f4')],[],e4d3,False,,24.451,+346
8/7p/1p3pp1/p2K4/Pk3PPP/8/1P6/8 b - - 0 1,E_E_T 005 - B vs B,"[Move.from_uci('b4b3'), Move.from_uci('f6f5')]",[],f6f5,True,,25.85,+130
2k5/3b4/PP3K2/7p/4P3/1P6/8/8 w - - 0 1,E_E_T 006 - B vs L,[Move.from_uci('f6e7')],[],e4e5,False,,10.901,+386
8/3Pb1p1/8/3P2P1/5P2/7k/4K3/8 w - - 0 1,E_E_T 007 - B vs L,[Move.from_uci('e2d3')],[],e2e3,False,,24.959,+274
8/1Pk2Kpp/8/8/4nPP1/7P/8/8 b - - 0 1,E_E_T 008 - B vs S,[Move.from_uci('e4f2')],[],c7b6,False,,65.243,+628
2n5/4k1p1/P6p/3PK3/7P/8/6P1/8 b - - 0 1,E_E_T 009 - B vs S,[Move.from_uci('g7g6')],[],e7f8,False,,39.948,+382
4k3/8/3PP1p1/8/3K3p/8/3n2PP/8 b - - 0 1,E_E_T 010 - B vs S,[],[Move.from_uci('d2f1')],e8f8,,True,10.752,+478
6k1/5p2/P3p1p1/2Qp4/5q2/2K5/8/8 b - - 0 1,E_E_T 011 - D vs D,[],"[Move.from_uci('f4c1'), Move.from_uci('f4e5')]",f4c4,,True,43.341,+1698
8/6pk/8/2p2P1p/6qP/5QP1/8/6K1 w - - 0 1,E_E_T 012 - D vs D,"[Move.from_uci('f3d3'), Move.from_uci('f3f2')]",[],f3g4,False,,23.411,+70
5q1k/5P1p/Q7/5n1p/6P1/7K/8/8 w - - 0 1,E_E_T 013 - D vs D&S,[Move.from_uci('a6a1')],[],a6a1,True,,20.313,+94
